Category,Cycle ID,Lots
Carrot,339,5
Carrot,336,3
Carrot,337,6
Carrot,329,1
Carrot,328,2
Carrot,330,8
Carrot,331,1
Carrot,335,5
Carrot,326,3
Carrot,332,2
Carrot,334,7
Condiment crop,403,4
Condiment crop,301,5
Condiment crop,401,1
Condiment crop,292,6
Condiment crop,490,2
Condiment crop,297,5
Condiment crop,293,4
Condiment crop,400,3
Condiment crop,399,3
Condiment crop,402,5
Condiment crop,492,5
Condiment crop,298,5
Condiment crop,491,6
Condiment crop,299,6
Condiment crop,295,1
Condiment crop,294,2
Condiment crop,493,1
Condiment crop,496,4
Cooked green,356,6
Cooked green,502,4
Cooked green,308,6
Cooked green,413,1
Cooked green,420,1
Cooked green,360,2
Cooked green,305,3
Cooked green,366,3
Cooked green,419,1
Cooked green,368,4
Cooked green,422,3
Cooked green,411,3
Cooked green,365,2
Cooked green,378,2
Cooked green,408,2
Cooked green,358,2
Cooked green,415,4
Cooked green,503,4
Cooked green,352,2
Fruit crop,390,5
Fruit crop,388,11
Fruit crop,425,4
Fruit crop,505,2
Fruit crop,454,2
Fruit crop,512,8
Fruit crop,435,6
Fruit crop,394,8
Fruit crop,436,4
Fruit crop,387,5
Fruit crop,504,2
Fruit crop,397,20
Fruit crop,453,2
Fruit crop,385,12
Fruit crop,389,5
Fruit crop,513,6
Fruit crop,382,16
Fruit crop,423,2
Potato,517,8
Potato,516,9
Potato,521,2
Potato,524,1
Potato,519,6
Potato,518,3
Potato,514,8
Potato,520,2
Potato,515,7
Raw green,452,2
Raw green,474,5
Raw green,468,3
Raw green,459,4
Raw green,547,1
Raw green,465,4
Raw green,551,2
Raw green,462,6
Raw green,350,2
Raw green,467,3
Raw green,440,2
Raw green,469,2
Raw green,560,2
Raw green,446,1
Raw green,447,1
Raw green,472,3
Raw green,550,1
Raw green,553,1
Raw green,349,2
Raw green,405,1
Raw green,546,2
Raw green,566,2
Raw green,348,2
Raw green,448,2
Root crop,543,4
Root crop,542,5
Root crop,346,1
Root crop,540,3
Root crop,527,2
Root crop,311,1
Root crop,478,2
Root crop,317,3
Root crop,312,3
Root crop,483,3
Root crop,344,2
Root crop,343,2
Root crop,476,2
Root crop,494,7
Root crop,485,1
Root crop,482,2
Root crop,495,2
Root crop,345,2
Tomato,568,5
Tomato,576,5
Tomato,575,5
Tomato,574,5
Tomato,573,5
Carrot,337,7
Carrot,334,6
Carrot,338,3
Carrot,327,1
Carrot,329,1
Carrot,328,2
Carrot,326,2
Carrot,330,8
Carrot,331,1
Carrot,333,3
Carrot,335,3
Carrot,339,3
Carrot,336,1
Condiment crop,493,2
Condiment crop,295,2
Condiment crop,399,6
Condiment crop,489,1
Condiment crop,490,3
Condiment crop,496,4
Condiment crop,491,10
Condiment crop,293,1
Condiment crop,492,4
Condiment crop,296,2
Condiment crop,298,6
Condiment crop,299,5
Condiment crop,400,3
Condiment crop,401,4
Condiment crop,292,3
Condiment crop,402,1
Condiment crop,294,2
Condiment crop,403,2
Cooked green,406,2
Cooked green,415,4
Cooked green,407,1
Cooked green,307,4
Cooked green,420,1
Cooked green,374,4
Cooked green,305,3
Cooked green,417,2
Cooked green,353,1
Cooked green,499,3
Cooked green,368,5
Cooked green,422,3
Cooked green,357,3
Cooked green,308,5
Cooked green,365,2
Cooked green,503,4
Cooked green,356,5
Cooked green,358,2
Cooked green,359,2
Fruit crop,389,9
Fruit crop,390,4
Fruit crop,388,9
Fruit crop,506,2
Fruit crop,428,2
Fruit crop,424,1
Fruit crop,426,5
Fruit crop,511,8
Fruit crop,303,8
Fruit crop,508,2
Fruit crop,509,1
Fruit crop,392,16
Fruit crop,379,12
Fruit crop,380,8
Fruit crop,384,12
Fruit crop,302,10
Fruit crop,387,4
Fruit crop,398,12
Potato,516,10
Potato,517,6
Potato,514,6
Potato,522,1
Potato,523,2
Potato,518,4
Potato,519,6
Potato,515,10
Potato,520,1
Raw green,475,2
Raw green,468,3
Raw green,562,1
Raw green,460,4
Raw green,563,1
Raw green,463,4
Raw green,549,1
Raw green,465,4
Raw green,553,1
Raw green,466,7
Raw green,452,2
Raw green,451,4
Raw green,560,2
Raw green,462,5
Raw green,547,1
Raw green,347,3
Raw green,439,2
Raw green,474,4
Raw green,446,1
Raw green,449,2
Raw green,450,2
Raw green,558,1
Root crop,495,4
Root crop,344,2
Root crop,486,2
Root crop,477,2
Root crop,529,1
Root crop,312,3
Root crop,313,2
Root crop,317,5
Root crop,484,4
Root crop,541,1
Root crop,485,2
Root crop,343,3
Root crop,528,1
Root crop,483,3
Root crop,318,3
Root crop,346,1
Root crop,481,2
Root crop,540,3
Root crop,527,2
Root crop,542,3
Tomato,573,7
Tomato,574,7
Tomato,577,4
Tomato,576,6
Tomato,575,4
Tomato,569,5
Carrot,338,6
Carrot,339,4
Carrot,328,2
Carrot,326,2
Carrot,330,8
Carrot,332,2
Carrot,333,2
Carrot,336,3
Carrot,334,7
Carrot,329,1
Carrot,337,5
Carrot,335,3
Condiment crop,400,7
Condiment crop,399,5
Condiment crop,402,3
Condiment crop,488,3
Condiment crop,293,1
Condiment crop,294,3
Condiment crop,295,1
Condiment crop,299,6
Condiment crop,492,5
Condiment crop,493,2
Condiment crop,298,6
Condiment crop,403,7
Condiment crop,496,5
Condiment crop,401,1
Condiment crop,292,3
Condiment crop,490,2
Condiment crop,301,4
Cooked green,406,3
Cooked green,503,4
Cooked green,365,2
Cooked green,378,3
Cooked green,372,1
Cooked green,374,3
Cooked green,319,2
Cooked green,320,2
Cooked green,500,3
Cooked green,355,2
Cooked green,308,5
Cooked green,373,4
Cooked green,411,3
Cooked green,413,1
Cooked green,325,2
Cooked green,364,1
Cooked green,497,4
Cooked green,408,2
Cooked green,306,1
Cooked green,321,4
Cooked green,356,5
Cooked green,340,1
Cooked green,375,2
Fruit crop,388,9
Fruit crop,389,6
Fruit crop,509,1
Fruit crop,506,2
Fruit crop,383,16
Fruit crop,302,10
Fruit crop,435,6
Fruit crop,394,8
Fruit crop,387,6
Fruit crop,425,4
Fruit crop,508,2
Fruit crop,396,12
Fruit crop,510,6
Fruit crop,392,16
Fruit crop,390,5
Fruit crop,513,6
Potato,514,10
Potato,517,8
Potato,520,1
Potato,521,2
Potato,518,4
Potato,519,6
Potato,516,10
Potato,515,4
Raw green,442,1
Raw green,441,3
Raw green,471,4
Raw green,438,1
Raw green,565,1
Raw green,546,2
Raw green,465,4
Raw green,462,5
Raw green,554,1
Raw green,466,3
Raw green,474,4
Raw green,473,5
Raw green,562,1
Raw green,444,2
Raw green,463,4
Raw green,347,4
Raw green,467,3
Raw green,349,2
Raw green,443,1
Raw green,459,4
Raw green,472,3
Raw green,553,1
Raw green,450,2
Raw green,451,3
Root crop,486,5
Root crop,494,7
Root crop,479,2
Root crop,345,2
Root crop,480,3
Root crop,527,2
Root crop,316,1
Root crop,313,2
Root crop,318,3
Root crop,343,3
Root crop,541,1
Root crop,476,3
Root crop,342,4
Root crop,495,2
Root crop,540,4
Root crop,483,2
Tomato,574,7
Tomato,578,4
Tomato,579,3
Tomato,570,3
Tomato,573,8
Tomato,576,5
Carrot,333,6
Carrot,334,7
Carrot,339,3
Carrot,336,3
Carrot,329,1
Carrot,326,3
Carrot,330,8
Carrot,331,1
Carrot,335,5
Carrot,328,2
Carrot,338,5
Condiment crop,301,5
Condiment crop,496,5
Condiment crop,401,2
Condiment crop,490,5
Condiment crop,293,2
Condiment crop,400,7
Condiment crop,300,2
Condiment crop,295,3
Condiment crop,402,2
Condiment crop,296,3
Condiment crop,399,4
Condiment crop,489,2
Condiment crop,299,5
Condiment crop,403,4
Condiment crop,491,6
Condiment crop,294,2
Condiment crop,292,3
Condiment crop,493,1
Cooked green,309,4
Cooked green,411,3
Cooked green,365,2
Cooked green,378,2
Cooked green,363,2
Cooked green,421,1
Cooked green,366,4
Cooked green,320,2
Cooked green,361,1
Cooked green,415,4
Cooked green,503,4
Cooked green,356,5
Cooked green,377,2
Cooked green,420,1
Cooked green,322,2
Cooked green,373,4
Cooked green,501,2
Cooked green,408,2
Cooked green,497,4
Cooked green,359,2
Cooked green,502,4
Cooked green,410,2
Cooked green,376,1
Fruit crop,387,9
Fruit crop,425,4
Fruit crop,389,3
Fruit crop,388,8
Fruit crop,509,1
Fruit crop,395,16
Fruit crop,426,5
Fruit crop,382,16
Fruit crop,435,6
Fruit crop,511,8
Fruit crop,390,6
Fruit crop,506,2
Fruit crop,428,2
Fruit crop,513,6
Fruit crop,423,2
Potato,517,12
Potato,514,6
Potato,515,8
Potato,518,4
Potato,523,2
Potato,519,6
Potato,516,5
Potato,521,2
Raw green,441,4
Raw green,459,4
Raw green,471,3
Raw green,460,3
Raw green,565,1
Raw green,463,4
Raw green,462,6
Raw green,553,1
Raw green,467,3
Raw green,466,4
Raw green,567,1
Raw green,475,2
Raw green,469,2
Raw green,560,2
Raw green,472,3
Raw green,549,1
Raw green,548,3
Raw green,404,1
Raw green,555,1
Raw green,474,4
Raw green,554,1
Raw green,439,2
Raw green,347,3
Raw green,552,2
Root crop,541,1
Root crop,533,2
Root crop,540,4
Root crop,495,3
Root crop,528,1
Root crop,527,3
Root crop,316,1
Root crop,312,3
Root crop,342,4
Root crop,542,4
Root crop,532,2
Root crop,486,2
Root crop,483,2
Root crop,484,3
Root crop,537,1
Root crop,481,3
Root crop,344,2
Root crop,318,3
Root crop,345,2
Tomato,568,7
Tomato,576,6
Tomato,570,3
Tomato,574,7
Tomato,575,4
Carrot,338,4
Carrot,333,3
Carrot,339,4
Carrot,329,1
Carrot,326,2
Carrot,330,8
Carrot,331,1
Carrot,334,6
Carrot,328,3
Carrot,336,2
Carrot,335,3
Carrot,337,5
Condiment crop,493,3
Condiment crop,496,6
Condiment crop,400,3
Condiment crop,401,3
Condiment crop,490,4
Condiment crop,299,7
Condiment crop,293,3
Condiment crop,402,3
Condiment crop,296,4
Condiment crop,403,5
Condiment crop,491,8
Condiment crop,492,1
Condiment crop,300,2
Condiment crop,488,4
Condiment crop,297,3
Condiment crop,301,4
Condiment crop,298,5
Cooked green,412,2
Cooked green,307,4
Cooked green,407,2
Cooked green,363,3
Cooked green,420,1
Cooked green,325,3
Cooked green,366,3
Cooked green,499,3
Cooked green,306,1
Cooked green,351,3
Cooked green,414,3
Cooked green,355,2
Cooked green,411,3
Cooked green,365,2
Cooked green,368,4
Cooked green,422,3
Cooked green,357,3
Cooked green,362,2
Cooked green,498,4
Cooked green,373,4
Cooked green,319,2
Cooked green,415,4
Cooked green,502,4
Cooked green,417,2
Cooked green,410,2
Cooked green,497,4
Cooked green,377,2
Cooked green,359,2
Fruit crop,388,8
Fruit crop,390,6
Fruit crop,389,7
Fruit crop,505,2
Fruit crop,427,6
Fruit crop,396,12
Fruit crop,386,12
Fruit crop,512,8
Fruit crop,398,12
Fruit crop,425,5
Fruit crop,454,2
Fruit crop,387,5
Potato,514,6
Potato,516,8
Potato,520,2
Potato,515,7
Potato,523,2
Potato,525,1
Potato,519,6
Potato,517,10
Potato,521,2
Potato,524,1
Potato,518,3
Raw green,473,5
Raw green,441,3
Raw green,458,4
Raw green,461,3
Raw green,545,1
Raw green,462,6
Raw green,464,3
Raw green,553,1
Raw green,348,2
Raw green,350,2
Raw green,450,3
Raw green,558,1
Raw green,560,2
Raw green,444,2
Raw green,546,2
Raw green,463,4
Raw green,551,1
Raw green,552,2
Raw green,349,2
Raw green,451,3
Raw green,465,3
Raw green,555,1
Raw green,475,2
Root crop,486,3
Root crop,540,7
Root crop,494,7
Root crop,537,1
Root crop,482,1
Root crop,481,2
Root crop,316,1
Root crop,312,4
Root crop,483,2
Root crop,542,4
Root crop,346,1
Root crop,528,1
Root crop,317,3
Root crop,315,2
Root crop,532,2
Root crop,495,2
Root crop,479,2
Root crop,543,3
Tomato,576,8
Tomato,577,4
Tomato,575,5
Tomato,568,6
Tomato,573,6
Carrot,333,4
Carrot,335,6
Carrot,336,4
Carrot,329,1
Carrot,328,3
Carrot,330,8
Carrot,334,7
Carrot,326,2
Carrot,332,2
Carrot,338,2
Carrot,337,5
Condiment crop,403,4
Condiment crop,492,3
Condiment crop,399,5
Condiment crop,496,4
Condiment crop,292,3
Condiment crop,490,2
Condiment crop,298,5
Condiment crop,297,3
Condiment crop,296,3
Condiment crop,400,5
Condiment crop,294,2
Condiment crop,402,2
Condiment crop,295,2
Condiment crop,488,2
Condiment crop,299,5
Condiment crop,493,2
Condiment crop,487,2
Condiment crop,401,2
Condiment crop,491,7
Condiment crop,301,4
Cooked green,502,4
Cooked green,309,4
Cooked green,497,4
Cooked green,363,2
Cooked green,408,2
Cooked green,304,2
Cooked green,376,1
Cooked green,305,3
Cooked green,354,1
Cooked green,418,2
Cooked green,414,3
Cooked green,422,3
Cooked green,373,4
Cooked green,356,6
Cooked green,377,2
Cooked green,308,5
Cooked green,503,4
Cooked green,420,1
Cooked green,323,1
Cooked green,498,4
Fruit crop,390,7
Fruit crop,388,7
Fruit crop,506,3
Fruit crop,453,2
Fruit crop,385,12
Fruit crop,512,8
Fruit crop,435,6
Fruit crop,382,16
Fruit crop,387,6
Fruit crop,389,7
Fruit crop,426,6
Fruit crop,508,2
Fruit crop,391,8
Fruit crop,397,20
Potato,515,8
Potato,517,9
Potato,518,4
Potato,523,2
Potato,519,6
Potato,516,12
Potato,522,1
Potato,514,2
Raw green,556,2
Raw green,451,3
Raw green,441,3
Raw green,438,2
Raw green,462,9
Raw green,547,1
Raw green,551,1
Raw green,466,3
Raw green,450,2
Raw green,440,2
Raw green,459,4
Raw green,474,4
Raw green,460,3
Raw green,463,4
Raw green,549,1
Raw green,465,3
Raw green,350,2
Raw green,439,2
Raw green,567,1
Raw green,347,3
Raw green,554,1
Raw green,553,1
Root crop,486,2
Root crop,494,6
Root crop,536,1
Root crop,344,2
Root crop,315,2
Root crop,481,2
Root crop,316,1
Root crop,317,3
Root crop,318,4
Root crop,541,1
Root crop,483,2
Root crop,533,2
Root crop,346,1
Root crop,537,1
Root crop,480,2
Root crop,478,2
Root crop,342,4
Root crop,532,2
Root crop,495,2
Root crop,527,2
Root crop,484,2
Root crop,543,3
Tomato,568,6
Tomato,578,5
Tomato,571,4
Tomato,569,4
Tomato,574,7
Tomato,570,3
Tomato,573,5
Tomato,576,5
Carrot,333,2
Carrot,336,5
Carrot,339,5
Carrot,338,5
Carrot,329,1
Carrot,326,3
Carrot,330,8
Carrot,332,3
Carrot,335,5
Carrot,328,3
Carrot,337,5
Condiment crop,301,5
Condiment crop,491,9
Condiment crop,496,4
Condiment crop,490,2
Condiment crop,403,4
Condiment crop,299,5
Condiment crop,296,2
Condiment crop,294,1
Condiment crop,402,2
Condiment crop,399,7
Condiment crop,492,3
Condiment crop,295,2
Condiment crop,293,3
Condiment crop,298,5
Condiment crop,297,3
Condiment crop,401,1
Condiment crop,300,2
Condiment crop,493,2
Condiment crop,292,3
Condiment crop,488,2
Condiment crop,400,3
Cooked green,422,3
Cooked green,415,4
Cooked green,411,3
Cooked green,362,4
Cooked green,325,4
Cooked green,366,3
Cooked green,319,2
Cooked green,354,1
Cooked green,418,2
Cooked green,502,4
Cooked green,416,2
Cooked green,307,6
Cooked green,420,1
Cooked green,321,4
Cooked green,356,5
Cooked green,378,2
Cooked green,375,2
Cooked green,377,2
Cooked green,322,2
Cooked green,501,2
Cooked green,408,2
Fruit crop,387,8
Fruit crop,425,5
Fruit crop,389,6
Fruit crop,508,2
Fruit crop,426,6
Fruit crop,383,16
Fruit crop,455,3
Fruit crop,390,8
Fruit crop,388,4
Fruit crop,397,20
Fruit crop,507,2
Fruit crop,429,6
Fruit crop,432,2
Fruit crop,423,2
Fruit crop,504,2
Fruit crop,398,12
Potato,516,8
Potato,517,7
Potato,521,4
Potato,519,8
Potato,515,7
Potato,514,9
Potato,520,1
Raw green,452,2
Raw green,468,4
Raw green,460,4
Raw green,464,3
Raw green,463,4
Raw green,550,1
Raw green,465,4
Raw green,348,4
Raw green,404,1
Raw green,405,1
Raw green,567,1
Raw green,474,4
Raw green,558,1
Raw green,459,4
Raw green,447,1
Raw green,547,1
Raw green,548,3
Raw green,449,2
Raw green,350,2
Raw green,450,2
Raw green,458,4
Raw green,448,2
Raw green,462,5
Raw green,552,2
Root crop,541,1
Root crop,485,1
Root crop,494,6
Root crop,345,2
Root crop,310,4
Root crop,313,3
Root crop,312,3
Root crop,344,3
Root crop,343,2
Root crop,479,2
Root crop,533,2
Root crop,526,1
Root crop,527,2
Root crop,542,3
Root crop,540,3
Root crop,342,4
Root crop,483,2
Root crop,314,2
Root crop,486,2
Root crop,318,3
Tomato,574,6
Tomato,568,5
Tomato,576,9
Tomato,575,5
Carrot,335,5
Carrot,334,10
Carrot,337,7
Carrot,339,3
Carrot,329,2
Carrot,326,3
Carrot,330,8
Carrot,333,2
Carrot,331,1
Carrot,336,1
Carrot,328,2
Carrot,338,2
Condiment crop,301,4
Condiment crop,296,4
Condiment crop,294,5
Condiment crop,293,3
Condiment crop,403,8
Condiment crop,399,7
Condiment crop,298,7
Condiment crop,401,3
Condiment crop,490,2
Condiment crop,496,4
Condiment crop,488,2
Condiment crop,297,3
Condiment crop,299,5
Condiment crop,493,4
Condiment crop,292,3
Condiment crop,402,2
Condiment crop,492,1
Cooked green,373,5
Cooked green,365,3
Cooked green,378,4
Cooked green,358,2
Cooked green,408,2
Cooked green,305,3
Cooked green,417,2
Cooked green,351,3
Cooked green,499,3
Cooked green,500,4
Cooked green,503,5
Cooked green,362,3
Cooked green,309,4
Cooked green,357,3
Fruit crop,390,6
Fruit crop,387,9
Fruit crop,425,6
Fruit crop,508,3
Fruit crop,391,8
Fruit crop,395,16
Fruit crop,392,16
Fruit crop,302,10
Fruit crop,398,12
Fruit crop,388,7
Fruit crop,389,4
Fruit crop,383,16
Fruit crop,431,4
Fruit crop,384,12
Fruit crop,396,12
Fruit crop,453,2
Fruit crop,393,16
Fruit crop,397,20
Fruit crop,429,6
Fruit crop,434,6
Fruit crop,427,6
Potato,515,11
Potato,517,11
Potato,516,5
Potato,514,5
Potato,523,3
Potato,518,3
Potato,519,6
Potato,521,2
Raw green,442,1
Raw green,558,1
Raw green,445,1
Raw green,460,3
Raw green,463,5
Raw green,465,4
Raw green,550,1
Raw green,347,3
Raw green,552,3
Raw green,555,1
Raw green,440,2
Raw green,437,1
Raw green,441,3
Raw green,468,3
Raw green,458,4
Raw green,472,3
Raw green,565,1
Raw green,448,3
Raw green,405,1
Raw green,567,1
Raw green,564,1
Raw green,551,1
Raw green,466,3
Raw green,350,2
Raw green,473,4
Raw green,467,3
Root crop,345,2
Root crop,495,3
Root crop,540,3
Root crop,486,4
Root crop,314,2
Root crop,311,1
Root crop,313,2
Root crop,317,5
Root crop,343,3
Root crop,485,1
Root crop,541,1
Root crop,538,1
Root crop,315,2
Root crop,539,1
Root crop,533,2
Root crop,543,3
Root crop,480,2
Root crop,531,1
Root crop,310,2
Root crop,483,2
Tomato,574,8
Tomato,570,3
Tomato,571,4
Tomato,568,6
Tomato,575,4
Tomato,577,4
Tomato,576,5
Tomato,573,5
Carrot,334,6
Carrot,337,8
Carrot,339,3
Carrot,329,1
Carrot,328,2
Carrot,326,2
Carrot,330,8
Carrot,331,1
Carrot,335,5
Carrot,338,3
Carrot,333,2
Condiment crop,401,2
Condiment crop,294,2
Condiment crop,296,2
Condiment crop,488,4
Condiment crop,403,6
Condiment crop,295,2
Condiment crop,293,5
Condiment crop,400,4
Condiment crop,297,3
Condiment crop,491,6
Condiment crop,492,1
Condiment crop,496,4
Condiment crop,301,4
Condiment crop,399,5
Condiment crop,299,5
Condiment crop,493,2
Condiment crop,300,2
Condiment crop,490,3
Condiment crop,487,2
Condiment crop,402,1
Cooked green,502,4
Cooked green,503,4
Cooked green,497,5
Cooked green,413,1
Cooked green,378,3
Cooked green,360,2
Cooked green,319,2
Cooked green,375,2
Cooked green,354,1
Cooked green,499,3
Cooked green,415,4
Cooked green,357,3
Cooked green,362,2
Cooked green,408,2
Cooked green,370,2
Cooked green,359,2
Cooked green,500,3
Cooked green,407,1
Cooked green,420,1
Cooked green,304,2
Cooked green,356,5
Cooked green,374,3
Cooked green,305,3
Cooked green,320,2
Cooked green,363,2
Cooked green,366,3
Cooked green,376,1
Cooked green,417,2
Cooked green,377,2
Cooked green,351,3
Fruit crop,390,6
Fruit crop,389,7
Fruit crop,388,9
Fruit crop,509,1
Fruit crop,453,2
Fruit crop,456,2
Fruit crop,512,8
Fruit crop,455,3
Fruit crop,383,16
Fruit crop,425,4
Fruit crop,504,2
Fruit crop,381,12
Fruit crop,426,6
Fruit crop,387,4
Fruit crop,510,6
Fruit crop,513,6
Potato,517,8
Potato,516,12
Potato,524,1
Potato,519,6
Potato,518,3
Potato,514,10
Potato,515,2
Raw green,442,1
Raw green,474,5
Raw green,560,2
Raw green,444,2
Raw green,447,1
Raw green,472,3
Raw green,347,5
Raw green,462,7
Raw green,350,3
Raw green,405,1
Raw green,475,2
Raw green,469,2
Raw green,460,4
Raw green,551,1
Raw green,467,3
Raw green,567,1
Raw green,458,5
Raw green,565,1
Raw green,464,3
Raw green,466,3
Raw green,448,2
Raw green,450,2
Raw green,443,1
Root crop,318,3
Root crop,544,4
Root crop,486,3
Root crop,342,4
Root crop,527,2
Root crop,315,2
Root crop,313,2
Root crop,312,3
Root crop,317,3
Root crop,542,3
Root crop,540,4
Root crop,343,2
Root crop,344,2
Root crop,541,1
Root crop,484,3
Root crop,476,3
Root crop,483,2
Root crop,314,2
Tomato,576,6
Tomato,577,4
Tomato,571,4
Tomato,569,4
Tomato,572,3
Tomato,573,5
Tomato,568,5
Tomato,574,5
Carrot,337,9
Carrot,333,1
Carrot,339,5
Carrot,327,1
Carrot,329,2
Carrot,326,3
Carrot,330,8
Carrot,334,8
Carrot,338,2
Carrot,336,2
Carrot,328,2
Carrot,331,1
Condiment crop,293,6
Condiment crop,399,5
Condiment crop,301,5
Condiment crop,496,6
Condiment crop,295,2
Condiment crop,487,2
Condiment crop,403,4
Condiment crop,299,5
Condiment crop,401,2
Condiment crop,298,5
Condiment crop,492,3
Condiment crop,493,1
Condiment crop,400,3
Condiment crop,491,7
Condiment crop,488,2
Condiment crop,294,1
Condiment crop,402,1
Condiment crop,490,2
Condiment crop,292,3
Cooked green,502,4
Cooked green,373,4
Cooked green,308,7
Cooked green,363,2
Cooked green,377,2
Cooked green,374,3
Cooked green,376,1
Cooked green,319,2
Cooked green,352,2
Cooked green,501,2
Cooked green,321,4
Cooked green,500,3
Cooked green,357,3
Cooked green,365,3
Cooked green,325,2
Cooked green,413,1
Cooked green,307,5
Cooked green,497,4
Cooked green,372,1
Cooked green,305,3
Fruit crop,390,9
Fruit crop,425,5
Fruit crop,396,12
Fruit crop,391,8
Fruit crop,384,12
Fruit crop,379,12
Fruit crop,393,16
Fruit crop,430,6
Fruit crop,513,7
Fruit crop,388,7
Fruit crop,387,7
Fruit crop,389,3
Fruit crop,382,16
Fruit crop,426,5
Fruit crop,434,6
Fruit crop,512,8
Fruit crop,397,20
Fruit crop,457,2
Fruit crop,383,16
Fruit crop,392,16
Fruit crop,510,6
Fruit crop,381,12
Potato,517,5
Potato,516,13
Potato,521,2
Potato,519,6
Potato,518,3
Potato,515,5
Potato,514,9
Potato,520,1
Raw green,473,5
Raw green,556,2
Raw green,559,2
Raw green,461,3
Raw green,464,3
Raw green,546,2
Raw green,465,3
Raw green,463,4
Raw green,462,5
Raw green,552,3
Raw green,350,3
Raw green,451,3
Raw green,458,4
Raw green,471,3
Raw green,551,1
Raw green,448,2
Raw green,439,2
Raw green,440,2
Raw green,452,2
Raw green,348,2
Raw green,467,3
Root crop,486,2
Root crop,543,4
Root crop,342,5
Root crop,481,2
Root crop,315,2
Root crop,312,4
Root crop,317,4
Root crop,343,3
Root crop,318,3
Root crop,542,3
Root crop,345,2
Root crop,484,2
Root crop,527,2
Root crop,483,2
Root crop,310,2
Root crop,485,1
Root crop,539,1
Tomato,576,6
Tomato,570,4
Tomato,575,4
Tomato,571,5
Tomato,574,6
Tomato,568,7
Tomato,573,5
